City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
392,Port Blair,IN,77.94,clear sky,11.6667,92.75,Welcomhotel Bay Island Port Blair
394,Ahuimanu,US,73.4,overcast clouds,21.4447,-157.8378,Paradise Bay Resort
395,Denpasar,ID,80.6,few clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
396,Catuday,PH,76.32,broken clouds,16.2923,119.8062,GResort
397,Margate,GB,46.99,broken clouds,51.3813,1.3862,Premier Inn Margate hotel
398,Fortuna,US,55.0,clear sky,40.5982,-124.1573,Super 8 by Wyndham Fortuna
400,Mount Gambier,AU,59.0,broken clouds,-37.8333,140.7667,Commodore on the Park
401,Boa Vista,BR,80.6,light rain,2.8197,-60.6733,Aipana Plaza Hotel
402,Chalons-En-Champagne,FR,44.6,clear sky,48.9539,4.3672,Hotel D'Angleterre
403,Uruguaiana,BR,71.6,clear sky,-29.7547,-57.0883,Fares Turis Hotel
405,Shiraoka,JP,45.0,clear sky,36.0167,139.6667,ホテルグリーンコア白岡｜HOTEL GREEN CORE SHIRAOKA
406,Amnat Charoen,TH,62.49,clear sky,15.9167,104.75,หอพักนักศึกษา
407,Manta,EC,77.0,overcast clouds,-0.95,-80.7333,Balandra Hotel
408,Mapiripan,CO,77.05,overcast clouds,2.8892,-72.1256,Monserrate
410,Karratha,AU,82.54,light rain,-20.7377,116.8463,ibis Styles Karratha
411,Adeje,ES,61.0,light rain,28.1227,-16.726,Gran Tacande Wellness & Relax
416,Loandjili,CG,75.2,light rain,-4.7561,11.8578,Résidence ARCHANGE
417,Elizabeth City,US,42.8,clear sky,36.2946,-76.2511,Hampton Inn Elizabeth City
418,Kohlu,PK,42.67,clear sky,29.8962,69.252,B &R Rest House
422,Gaborone,BW,69.8,broken clouds,-24.6545,25.9086,Gae Guesthouse
423,Coachella,US,75.2,clear sky,33.6803,-116.1739,Fantasy Springs Resort Casino
424,Yambio,SS,80.19,overcast clouds,4.5721,28.3955,Naivasha Hotel
425,Aosta,IT,41.0,broken clouds,45.7667,7.4167,HOTEL VENERIAZ
429,Wanning,CN,66.9,scattered clouds,18.8003,110.3967,Paradise Hotel
430,Tarakan,ID,77.0,haze,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
431,Senanga,ZM,67.41,broken clouds,-16.1167,23.2667,Christopher Nasilele House
432,Tupiza,BO,58.55,overcast clouds,-21.45,-65.7167,La Torre Hotel
433,Sabang,ID,81.23,scattered clouds,5.8933,95.3214,Hotel Citra
434,Iracoubo,GF,77.54,overcast clouds,5.4802,-53.2011,Le Gite D Iracoubo
435,Faanui,PF,81.19,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
438,Itarema,BR,78.57,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
439,Malakal,SS,78.37,clear sky,9.5334,31.6605,Nile Palace Hotel
440,Seydi,TM,47.75,overcast clouds,39.4816,62.9137,Çagalar Dünýäsi
443,Agua Dulce,MX,77.0,clear sky,18.1333,-94.1333,Hotel Victoria
446,Ancud,CL,77.0,clear sky,-41.8697,-73.8203,Hotel Arena Gruesa
447,Beysehir,TR,42.17,clear sky,37.6773,31.7246,Anatolia Boutique Hotel Penta
448,Ballina,AU,78.8,broken clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
449,Santa Isabel,BR,84.2,light rain,-23.3156,-46.2214,Chácara Sombra do Altíssimo
450,Songkhla,TH,71.6,few clouds,6.8333,100.6667,น.ส ซัลมา สาแม็ง
452,Codrington,AU,55.58,light rain,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
456,Ouesso,CG,74.71,scattered clouds,1.6136,16.0517,Hôtel ABENI
457,Turan,VN,73.4,broken clouds,16.0678,108.2208,Grand Mercure Danang
458,Itaueira,BR,78.06,few clouds,-7.6033,-43.0256,Pousada e Restaurante Cheiro e Sabor
460,Kailua,US,73.4,overcast clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
461,Port-Gentil,GA,82.4,scattered clouds,-0.7193,8.7815,Fengshui Residence
462,Cidreira,BR,69.22,scattered clouds,-30.1811,-50.2056,Hotel Castelo
463,Capanema,BR,76.26,broken clouds,-1.1958,-47.1808,Hotel Legal
464,Port Macquarie,AU,82.99,few clouds,-31.4333,152.9167,Rydges Port Macquarie
465,Gondanglegi,ID,77.4,scattered clouds,-7.7479,112.0132,Gg. Munasir Homestay
466,Ankazoabo,MG,75.65,overcast clouds,-22.2833,44.5167,ENCEIN BUREAU CISCO
467,Luanda,AO,80.6,broken clouds,-8.8368,13.2343,EPIC SANA Luanda
469,Araras,BR,73.44,overcast clouds,-22.3569,-47.3842,Hotel O Casarão
472,Barcelos,PT,48.99,fog,41.5388,-8.6151,Hotel Do Terço
473,Vila Velha,BR,79.0,clear sky,-20.3297,-40.2925,Hotel Vitória Palace
474,Gidole,ET,57.78,clear sky,5.65,37.3667,Shallom mekaneyesus church
475,Sola,VU,87.8,broken clouds,-13.8833,167.55,Leumerus Bungalows
477,Kalianget,ID,80.8,overcast clouds,-7.05,113.9333,Pesanggrahan Garam
479,Souillac,MU,78.8,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
481,Pak Phanang,TH,77.0,few clouds,8.3511,100.20200000000001,Green Park Inn Hotel
482,Kununurra,AU,86.0,overcast clouds,-15.7667,128.7333,Hotel Kununurra
483,Ambilobe,MG,74.05,broken clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
484,Japura,ID,72.23,overcast clouds,-0.3167,102.35,Rumah mbah Jamah
486,Ishigaki,JP,68.0,scattered clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
488,Carutapera,BR,79.12,broken clouds,-1.195,-46.02,Lidera
493,Riohacha,CO,79.47,scattered clouds,11.5444,-72.9072,Hotel Taroa
496,Najran,SA,60.8,clear sky,17.4924,44.1277,محمد هادي ال فطيح
497,Vallenar,CL,69.04,broken clouds,-28.5708,-70.7581,Humacao Bed & Breakfast
500,Ugep,NG,77.95,broken clouds,5.8086,8.0812,Classic Bar
