City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
191,Port Blair,IN,2021-01-31 23:43:01,11.6667,92.75,78.15,84,16,11.34
192,Ponta Delgada,PT,2021-01-31 23:43:40,37.7333,-25.6667,62.01,94,75,17.27
193,Sitka,US,2021-01-31 23:40:49,57.0531,-135.33,42.8,42,40,3.44
194,Urumqi,CN,2021-01-31 23:43:40,43.801,87.6005,3.2,85,75,4.47
195,Brae,GB,2021-01-31 23:43:40,60.3964,-1.353,32.0,86,20,11.5
196,Sorland,NO,2021-01-31 23:43:41,67.667,12.6934,34.07,84,100,20.04
197,Kinablangan,PH,2021-01-31 23:43:41,7.6947,126.5503,79.75,79,100,1.9
198,Morro Bay,US,2021-01-31 23:43:41,35.3658,-120.8499,62.01,82,100,1.01
199,Kirovskiy,RU,2021-01-31 23:43:41,45.0917,133.5136,10.4,95,100,3.53
200,Port Elizabeth,ZA,2021-01-31 23:43:41,-33.918,25.5701,69.8,78,40,26.46
201,South Daytona,US,2021-01-31 23:39:50,29.1658,-81.0045,75.2,53,90,12.66
202,Bangsund,NO,2021-01-31 23:43:41,64.3968,11.3949,32.0,81,76,5.99
203,Stromness,GB,2021-01-31 23:39:50,58.965,-3.296,32.0,86,75,2.3
204,Salym,RU,2021-01-31 23:39:01,60.0625,71.4789,2.75,94,89,4.36
205,Ngunguru,NZ,2021-01-31 23:43:42,-35.6167,174.5,66.16,64,0,9.73
206,Tuatapere,NZ,2021-01-31 23:43:42,-46.1333,167.6833,70.09,52,5,4.18
207,Port Hardy,CA,2021-01-31 23:43:42,50.6996,-127.4199,44.6,87,75,5.75
208,Katobu,ID,2021-01-31 23:43:42,-4.9408,122.5276,80.47,79,100,3.04
209,Fairbanks,US,2021-01-31 23:41:29,64.8378,-147.7164,-2.2,84,90,1.39
210,Baghdad,IQ,2021-01-31 23:43:42,33.3406,44.4009,53.6,58,0,5.75
211,Ternate,ID,2021-01-31 23:43:42,0.8,127.4,79.93,72,97,5.06
212,El Sauzal,MX,2021-01-31 23:43:42,31.9,-116.6833,60.01,77,87,2.77
213,Udankudi,IN,2021-01-31 23:43:42,8.4333,78.0167,74.44,86,83,14.97
214,Khash,IR,2021-01-31 23:43:43,28.2211,61.2158,43.27,65,0,2.75
215,Luba,GQ,2021-01-31 23:43:43,3.4568,8.5547,80.6,89,20,8.05
216,Aswan,EG,2021-01-31 23:43:43,24.0934,32.907,57.38,47,0,6.6
217,Mogadishu,SO,2021-01-31 23:43:43,2.0371,45.3438,75.02,84,7,19.28
218,Rosa Zarate,EC,2021-01-31 23:43:43,0.3333,-79.4667,75.51,92,90,4.05
219,Mayo,US,2021-01-31 23:43:43,38.8876,-76.5119,33.01,93,90,12.66
220,Karratha,AU,2021-01-31 23:43:43,-20.7377,116.8463,85.14,57,99,15.21
221,Esperance,AU,2021-01-31 23:43:43,-33.8667,121.9,62.6,82,6,8.05
222,Labuhan,ID,2021-01-31 23:43:43,-6.8844,112.2051,78.67,84,100,8.3
223,Porto Novo,BJ,2021-01-31 23:43:44,6.4965,2.6036,84.2,84,40,12.66
224,Kamwenge,UG,2021-01-31 23:43:44,0.1866,30.4539,64.89,69,95,2.17
225,Senanga,ZM,2021-01-31 23:43:44,-16.1167,23.2667,67.01,88,100,5.19
226,Jericho,PS,2021-01-31 23:43:44,31.8667,35.45,50.0,83,0,4.07
227,Tiksi,RU,2021-01-31 23:43:44,71.6872,128.8694,-27.27,86,100,6.4
228,Samarai,PG,2021-01-31 23:43:44,-10.6167,150.6667,85.12,68,8,9.78
229,Prachuap Khiri Khan,TH,2021-01-31 23:41:11,12.2167,99.75,69.8,78,0,2.3
230,Weligama,LK,2021-01-31 23:43:44,5.9667,80.4167,73.92,89,53,4.07
231,Coahuayana,MX,2021-01-31 23:43:44,18.7333,-103.6833,80.6,74,1,5.01
232,Bucerias,MX,2021-01-31 23:43:45,20.75,-105.3333,73.4,78,20,9.22
233,Vila Franca Do Campo,PT,2021-01-31 23:43:45,37.7167,-25.4333,62.01,94,75,17.27
234,Longyearbyen,SJ,2021-01-31 23:43:45,78.2186,15.6401,1.4,60,0,17.27
235,Phalodi,IN,2021-01-31 23:43:45,27.1333,72.3667,58.14,28,0,4.07
236,Nome,US,2021-01-31 23:43:45,64.5011,-165.4064,3.0,55,1,10.36
237,Brazzaville,CG,2021-01-31 23:43:45,-4.2658,15.2832,77.0,88,40,3.44
238,Lanigan,CA,2021-01-31 23:43:45,51.8501,-105.0344,3.2,78,2,5.75
239,Hua Hin,TH,2021-01-31 23:43:45,12.5707,99.9588,69.8,78,0,2.3
240,Xining,CN,2021-01-31 23:43:46,36.6167,101.7667,10.98,64,0,3.13
241,Wasilla,US,2021-01-31 23:43:46,61.5814,-149.4394,12.2,92,20,1.1
242,Zhigansk,RU,2021-01-31 23:43:46,66.7697,123.3711,-45.08,76,44,2.48
243,Kijang,KR,2021-01-31 23:43:46,35.2442,129.2139,51.8,93,90,5.75
244,Axim,GH,2021-01-31 23:43:46,4.8699,-2.2405,79.16,88,27,9.1
245,Saint-Augustin,CA,2021-01-31 23:43:46,51.226,-58.6502,13.59,91,81,13.29
246,Auki,SB,2021-01-31 23:43:46,-8.7676,160.7034,83.35,79,98,17.78
247,Kavieng,PG,2021-01-31 23:43:47,-2.5744,150.7967,83.39,82,100,15.14
248,Eirunepe,BR,2021-01-31 23:43:47,-6.6603,-69.8736,73.06,96,84,0.45
249,Lata,PT,2021-01-31 23:43:47,40.1629,-8.3327,57.0,93,85,7.92
250,Sambava,MG,2021-01-31 23:43:47,-14.2667,50.1667,76.14,84,27,7.38
251,Coquimbo,CL,2021-01-31 23:40:06,-29.9533,-71.3436,66.2,88,20,9.22
252,Sarkand,KZ,2021-01-31 23:43:47,45.41,79.9186,33.69,70,99,3.98
253,Makakilo City,US,2021-01-31 23:43:47,21.3469,-158.0858,82.4,47,90,4.61
254,Iquitos,PE,2021-01-31 23:43:47,-3.7481,-73.2472,75.2,94,90,5.75
255,Natchitoches,US,2021-01-31 23:43:47,31.7668,-93.1335,53.6,58,1,12.66
256,Peniche,PT,2021-01-31 23:40:41,39.3558,-9.3811,59.0,99,86,8.01
257,Pangnirtung,CA,2021-01-31 23:43:48,66.1451,-65.7125,-4.61,87,100,3.38
258,Upernavik,GL,2021-01-31 23:43:48,72.7868,-56.1549,2.55,93,100,6.6
259,Havoysund,NO,2021-01-31 23:43:48,70.9963,24.6622,26.6,86,75,14.97
260,Pisco,PE,2021-01-31 23:39:26,-13.7,-76.2167,71.6,68,75,17.27
261,Minab,IR,2021-01-31 23:43:48,27.1467,57.0801,57.2,77,0,2.3
262,Ilulissat,GL,2021-01-31 23:43:48,69.2167,-51.1,6.8,56,20,6.91
263,Kodiak,US,2021-01-31 23:43:48,57.79,-152.4072,32.0,51,1,10.36
264,Yar-Sale,RU,2021-01-31 23:43:49,66.8333,70.8333,-12.28,89,92,7.81
265,Bandarbeyla,SO,2021-01-31 23:43:49,9.4942,50.8122,72.46,73,26,18.37
266,Goure,NE,2021-01-31 23:43:49,13.9835,10.2704,71.01,17,0,8.99
267,Bundaberg,AU,2021-01-31 23:43:49,-24.85,152.35,84.0,57,75,13.8
268,Anloga,GH,2021-01-31 23:43:49,5.7947,0.8973,81.75,83,12,14.9
269,Athabasca,CA,2021-01-31 23:43:49,54.7169,-113.2854,8.6,72,26,6.91
270,Oktyabrskoye,RU,2021-01-31 23:43:49,43.0645,44.7417,24.8,93,48,6.71
271,Whitehorse,CA,2021-01-31 23:43:49,60.7161,-135.0538,1.0,77,90,4.61
272,Mount Gambier,AU,2021-01-31 23:43:50,-37.8333,140.7667,59.0,88,100,8.05
273,Botou,CN,2021-01-31 23:43:50,38.0667,116.5667,30.61,79,1,8.5
274,Boddam,GB,2021-01-31 23:43:50,57.4667,-1.7833,32.0,86,75,2.3
275,Ankpa,NG,2021-01-31 23:43:50,7.3706,7.6253,77.85,27,49,4.97
276,Kishtwar,IN,2021-01-31 23:43:50,33.3167,75.7667,37.98,69,79,4.61
277,Ibarra,EC,2021-01-31 23:39:00,0.35,-78.1167,69.8,40,20,11.5
278,Petropavlovsk-Kamchatskiy,RU,2021-01-31 23:39:17,53.0452,158.6483,17.6,53,66,20.38
279,Umm Lajj,SA,2021-01-31 23:43:50,25.0213,37.2685,69.82,41,0,8.88
280,Kemijarvi,FI,2021-01-31 23:43:51,66.7131,27.4306,8.33,95,85,5.44
281,Lagoa,PT,2021-01-31 23:43:51,39.05,-27.9833,61.5,87,99,20.4
282,Palekh,RU,2021-01-31 23:43:51,56.8028,41.8572,19.13,96,100,12.68
283,Kangaatsiaq,GL,2021-01-31 23:43:51,68.3065,-53.4641,2.89,94,67,9.01
284,Denpasar,ID,2021-01-31 23:40:37,-8.65,115.2167,78.8,94,40,3.44
285,Walvis Bay,NA,2021-01-31 23:43:51,-22.9575,14.5053,68.0,77,10,8.05
286,Cabo San Lucas,MX,2021-01-31 23:38:58,22.8909,-109.9124,75.99,64,90,11.5
287,Loa Janan,ID,2021-01-31 23:43:51,-0.583,117.095,75.63,92,100,2.62
288,Bongaree,AU,2021-01-31 23:43:52,-27.0797,153.1586,82.0,74,14,3.0
289,Havre-Saint-Pierre,CA,2021-01-31 23:43:52,50.2334,-63.5986,17.6,62,20,6.91
290,Marsa Matruh,EG,2021-01-31 23:43:52,31.3525,27.2453,57.2,62,0,6.91
291,Shirokiy,RU,2021-01-31 23:43:52,49.758,129.523,-19.91,84,100,11.88
292,Angoche,MZ,2021-01-31 23:43:52,-16.2325,39.9086,79.59,78,100,12.5
